"cod_person","var_nuevo","p606n","p606","dominio","p101","p105a","p105b","p110a1","p110c","p110c1","p1142","p1144","nbi1","nbi2","nbi3","nbi4","nbi5","p612n","p612a","codperso","p203","p207","p208a","p209","p300a","p301a","p301d","p301a0","p306","p313","p314d","p401h1","p401h2","p401h4","p401h5","p401h6","p501","p513t","p513a2","p524a1","p556t1","p558c"
"0050070121101","00500701211",3,2,4,4,5,0,1,1,24,1,1,0,0,0,0,0,7,1,"01",1,2,22,6,4,7,1,0,2,6,1,2,2,2,2,2,1,73,3,800,350,6
"0050070501103","00500705011",3,2,4,1,2,0,1,1,24,1,1,0,0,0,0,0,7,0,"03",5,1,22,6,4,9,1,0,2,6,1,2,2,2,2,2,2,0,0,0,750,6
"0050090561103","00500905611",3,2,4,4,1,198,1,1,24,1,1,0,1,0,0,0,7,0,"03",3,2,19,6,4,6,1,1,2,3,1,2,2,2,2,2,1,7,1,0,350,6
"0050090841101","00500908411",3,2,4,4,1,128,1,1,24,1,0,0,0,0,0,0,7,0,"01",1,2,22,5,4,7,1,0,2,3,1,2,2,2,2,2,1,42,2,600,500,6
"0050270441104","00502704411",3,2,7,1,2,0,2,2,0,1,1,0,0,0,0,0,7,1,"04",3,1,22,6,4,9,2,0,1,0,1,2,2,2,2,2,2,0,0,0,0,5
"0050360521103","00503605211",3,2,7,1,6,0,2,1,24,1,0,0,0,0,0,0,7,0,"03",3,1,19,6,4,6,1,1,2,1,1,2,2,2,2,2,2,0,0,0,256,6
"0050380341105","00503803411",3,2,7,1,2,0,1,2,0,1,1,0,0,1,0,0,7,3,"05",5,2,22,6,4,9,1,0,1,0,1,2,2,2,2,2,2,0,0,0,0,6
"0050450131104","00504501311",3,2,7,1,2,0,1,2,0,1,0,0,0,0,0,0,7,0,"04",3,1,21,6,4,6,1,1,2,1,1,2,2,2,2,2,1,38,7,0,350,6
"0050450401102","00504504011",3,2,7,1,1,148,1,2,0,1,1,0,0,0,0,0,7,0,"02",2,2,22,1,4,7,1,0,2,10,1,2,2,2,2,2,1,70,5,1500,350,6
"0050450561102","00504505611",3,2,7,1,2,0,1,2,0,1,1,0,0,0,0,0,7,0,"02",3,1,22,5,4,6,1,1,2,1,1,2,2,2,2,2,1,42,0,0,0,6
"0050490031104","00504900311",3,2,7,1,2,0,1,1,24,1,1,0,0,0,0,0,7,0,"04",3,1,19,6,4,6,1,1,2,9,1,2,2,2,2,2,2,0,0,0,350,6
"0050490241103","00504902411",3,2,7,1,2,0,1,1,24,1,0,0,1,0,0,0,7,0,"03",3,1,22,6,4,6,1,1,2,1,1,2,2,2,2,2,2,0,0,0,0,6
"0050870981103","00508709811",3,2,7,1,6,0,2,1,24,1,0,0,0,0,0,0,7,1,"03",3,1,19,6,4,7,1,0,1,0,1,2,2,2,2,2,2,0,0,0,0,7
"0050880171103","00508801711",3,2,7,1,2,0,1,1,24,1,1,0,0,1,0,0,7,1,"03",3,2,20,6,4,6,1,0,1,0,1,2,2,2,2,2,1,29,1,90,270,6
"0050880221103","00508802211",3,2,7,1,2,0,1,1,24,1,0,0,0,1,0,0,7,0,"03",3,1,19,6,4,6,1,1,2,1,1,2,2,2,2,2,1,12,2,100,270,6
"0050890091103","00508900911",3,2,7,1,2,0,2,1,24,1,1,0,0,0,0,0,7,0,"03",3,2,22,6,4,9,2,0,1,0,1,2,2,2,2,2,1,14,1,0,350,6
"0050890551102","00508905511",3,2,7,1,2,0,1,1,24,1,0,0,0,0,0,0,7,0,"02",3,2,19,6,4,6,1,1,2,1,2,2,2,2,2,2,1,48,3,200,350,6
